"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.83736,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.82325,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.85084,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.92793,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.0553,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.2624,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.582,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.623,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6174,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5522,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.5051,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.3898,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.2964,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.2716,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.402,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5647,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6192,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.53,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3868,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2975,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2975,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3655,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.3608,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.2805,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.2707,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3153,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.3615,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.4461,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.5087,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.4935,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.5072,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.6022,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.717,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.8073,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.8483,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.8975,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9794,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.0671,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.1673,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.1949,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.1837,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.1844,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.2122,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.2245,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.2069,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.2063,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.2305,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.2616,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.2096,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.1219,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.0034,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.8715,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.7717,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.7289,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.806,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.8967,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.9107,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.878,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.777,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.637,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.4703,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.4468,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.524,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.6791,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.7966,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.726,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.2111,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.08269,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.85536,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.43139,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.59801,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",97.85895,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.11905,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.34974,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.42955,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.4199,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.51984,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.66251,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-02",98.99229,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.50932,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.93814,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.2118,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-06",100.3427,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-09",96.87313,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.46582,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.16968,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.16106,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.16938,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-02",96.13933,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-03",96.37236,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-04",96.8895,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.33447,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-06",97.5187,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-07",97.46652,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-08",97.51694,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-09",97.72217,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-10",97.75637,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-11",97.77256,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-12",97.9735,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-01",98.15976,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-02",98.22324,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-03",98.21968,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-04",98.19614,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-05",98.19468,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-06",98.08517,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-07",97.75742,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-08",97.55754,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-09",97.49901,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-10",97.61242,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-11",97.90868,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-12",98.19749,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-01",98.32215,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-02",98.26567,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-03",97.98522,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-04",97.91798,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-05",97.89989,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-06",97.54616,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-07",96.88197,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-08",96.31504,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-09",96.2377,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-10",96.50441,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.01297,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-12",97.64204,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.17833,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.47732,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.6214,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.66177,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.59692,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.35941,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.27573,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.47306,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.84049,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-10",99.10398,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-11",99.00362,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.61568,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.46651,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.58616,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.77996,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.02641,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.41952,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.62276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.57896,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.25259,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.80975,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-10",98.53598,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-11",98.65276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.00571,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.20662,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.28809,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.32557,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.41045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.39462,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.36391,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.3544,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.46473,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.70229,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.0363,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.446,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.9004,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.2065,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.2092,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.0973,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",101.0339,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.9408,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.9572,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.8243,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.6048,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.407,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4409,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5759,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6883,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.7035,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.6602,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.6141,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.6396,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.7814,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.7558,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5859,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.4632,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.441,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.5301,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.9114,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.3022,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.4739,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.4596,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.4242,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.3783,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.2959,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1733,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.1258,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.2375,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.3774,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.5507,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.5275,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.4319,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.4658,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.6504,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.7651,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.7074,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.6101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.5444,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.5087,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.5215,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.6158,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.5957,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.472,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.2791,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.0482,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.1095,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.356,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.5368,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.6361,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.5301,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.2679,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.9332,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.9331,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.1624,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.4662,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.7237,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.7219,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.238,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.11,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.88302,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.31783,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.26157,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.28114,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.50926,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.86238,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.03036,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.98125,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.984,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.99023,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.14902,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.56915,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.86069,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",99.81796,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",99.59086,
